"","cityurl","subcl","post_id","post_link","post_data_id","post_date_raw","post_title","post_price","post_subcl","post_subcltype","post_loc","post_text","post_date","post_last_update","post_pics","post_type"
"1","http://missoula.craigslist.org","ppp","4606968117","http://missoula.craigslist.org/cas/4606968117.html","4606968117","Sep 5","Businessman looking for regular and discreet meetings","40","cas","casual encounters","Missoula","Looking for NSA. Usually stay at HiltonGardenInn. 40, 5'9, Professional.
In town twice a month and looking for discreet and regular meetings. Could be a monthly thing if it
works out. DDF. Clean as you should be. 
T","2014-08-06T20:26:58-0600","2014-09-05T11:30:42-0600"," 2","m4w"
"2","http://missoula.craigslist.org","ppp","4608041593","http://missoula.craigslist.org/cas/4608041593.html","4608041593","Sep 5","Lets share vids and photos of our wives in person m4m or mw4mw",NA,"cas","casual encounters","Missoula","Have hundreds of vids and photos of my sexy wife and I.  Looking for someone in a  like situation  that would like to show them to each other in person.  Hot and sexy photos of a beautiful woman and I.  Lets meet somewhere and do this.  See what happens.  Can be on a phone or a lap top.  Very hot very sexy.","2014-08-07T13:52:54-0600","2014-09-06T09:34:53-0600"," 5","m4m"
"3","http://missoula.craigslist.org","ppp","4609848759","http://missoula.craigslist.org/cas/4609848759.html","4609848759","Sep 6","FWB","35","cas","casual encounters","Broot","Looking for a friend with benefits for discreet fun.  I am taller with an athletic build, clean, disease and drug free. Please be over 18 and ddf.  Send me an email with a pic if interested to find out more and we can go from there.  Please prove you are real too. No spam.","2014-08-08T15:23:51-0600","2014-09-06T17:58:35-0600"," 0","m4w"
"4","http://missoula.craigslist.org","ppp","4610351127","http://missoula.craigslist.org/m4w/4610351127.html","4610351127","Sep 7","lonely Missoula man",NA,"m4w","men seeking women","Missoula","Hello I'm a 35 yr old man from Missoula I been alone since 2009 and would love to find a good woman who likes to get to  know eachother in every way possible. I can't have kids due to me getting fixed in 2009. So if you are a skinny lady  and it doesn't matter if your white or black. It would be nice a new experience to believe with a black lady so if anyone is interested hit me up. Thanks","2014-08-08T22:30:06-0600","2014-09-07T17:24:09-0600"," 0",NA
"5","http://missoula.craigslist.org","ppp","4611556876","http://missoula.craigslist.org/cas/4611556876.html","4611556876","Sep 6","A little extra",NA,"cas","casual encounters","msla","I would like to have sex with someone. I am hoping that there is someone who would like to exchange gifts$. We can discuss details. In your response put ""gift exchange"" in the subject line so I know you are real. Only serious responses please.","2014-08-09T17:08:40-0600","2014-09-06T17:26:49-0600"," 0","m4w"
"6","http://missoula.craigslist.org","ppp","4611558889","http://missoula.craigslist.org/cas/4611558889.html","4611558889","Sep 6","Tap?","45","cas","casual encounters","Missoula","Need to get tapped. Decent looking, clean tight, masc, desc, hwp. Would like a guy around my age to tap me, nsa. You gotta host. Be clean, decent looking, dd free. Consider all ages over 18 if hot. Avail tonite/later today. May flip. Please send pic stats, texting is cool. No pic no response. Any takers? 42o friendly. COME ON GUYS!","2014-08-09T17:10:15-0600","2014-09-06T12:45:05-0600"," 0","m4m"
"7","http://missoula.craigslist.org","ppp","4611569222","http://missoula.craigslist.org/cas/4611569222.html","4611569222","Sep 7","ISO of rental","30","cas","casual encounters","Missoula","Hello CL! I am looking for a space to rent for my cock. Not an extended stay, just a satisfying one. I have a clean cock, shaven and use a condom. Something discreet and private for the rental time. If this sounds interesting to you and you could use some rental fees then get back to me. Respond back with ""agreement"" in the subject line. Please, only looking for serious potential landlords. Thanks!","2014-08-09T17:18:49-0600","2014-09-07T15:28:10-0600"," 0","m4w"
"8","http://missoula.craigslist.org","ppp","4611587066","http://missoula.craigslist.org/cas/4611587066.html","4611587066","Sep 6","How hard is it to just get laid?",NA,"cas","casual encounters","Missoula","Not looking for anything serious. Something casual. Relationship status not important. Legal age a must. I need to be inside a wet pussy. Looks, body type or race not an issues. ""casual lay"" in subject line. I am real. The Griz play their first home game of the season today. Looking for very soon.","2014-08-09T17:33:30-0600","2014-09-06T17:29:15-0600"," 0","m4w"
"9","http://missoula.craigslist.org","ppp","4611898109","http://missoula.craigslist.org/cas/4611898109.html","4611898109","Sep 7","Fit Guy Looking For FWB","27","cas","casual encounters","Maaazoola","I'm a fit good looking guy looking for a hot FWB lady friend.  People say I'm ripped and I believe them because I dont want to seem disagreeable ;). I'd like a regular thing here, with someone who likes to have sex often and multiple times a night. I just want this thing to be chill with no heavy strings attached.  We're just friends who hang out, watch movies, and like to get it on with each other. So if you might be interested send me a pic and I'll send one back. Let's have a little fun together :-D","2014-08-09T23:41:53-0600","2014-09-07T22:20:59-0600"," 0","m4w"
"10","http://missoula.craigslist.org","ppp","4611959503","http://missoula.craigslist.org/cas/4611959503.html","4611959503","Sep 7","horny","29","cas","casual encounters",NA,"Hi I'm a bi male looking for a couple. Or a woman or a man in that order I am up and horny looking for fun YOU MUST HOST if this is up I'm looking send pics and stats","2014-08-10T02:57:11-0600","2014-09-07T19:05:29-0600"," 0",NA
"11","http://missoula.craigslist.org","ppp","4612626467","http://missoula.craigslist.org/cas/4612626467.html","4612626467","Sep 7","road trip cda casino",NA,"cas","casual encounters",NA,"46 YO looking for travrel buddy later this month. must be flexable. pi stats.c hmu for fun. prefere hwp younger. thanks","2014-08-10T13:54:45-0600","2014-09-07T15:12:17-0600"," 0","m4m"
"12","http://missoula.craigslist.org","ppp","4613932091","http://missoula.craigslist.org/cas/4613932091.html","4613932091","Sep 6","Horny? So am I. Look inside. Don't delay.",NA,"cas","casual encounters","msla","Hi! Are you horny? Discreet, casual sex, anonymous. No strings, no drama. Text four zero six 824 four zero six four.","2014-08-11T11:18:41-0600","2014-09-06T17:27:31-0600"," 0","m4w"
"13","http://missoula.craigslist.org","ppp","4614000262","http://missoula.craigslist.org/cas/4614000262.html","4614000262","Sep 8","I NEED A PETITE/TIGHT PACKAGE","46","cas","casual encounters","missoula","I am in need of a nice hard body to play with for an erotic session.  I love the taste and the feel of a woman and will be sure that you are satisfied during this encounter.  I am mid 40's,  very active and fit.    I am attached but in need of a special encounter ( I think we all need that from time to time to keep life exciting).  So, if there are any ladies out there who would be so kind as to satisfy my strong appetite, I hope you will repsond.","2014-08-11T11:50:32-0600","2014-09-08T15:50:23-0600"," 0","m4w"
"14","http://missoula.craigslist.org","ppp","4614002851","http://missoula.craigslist.org/cas/4614002851.html","4614002851","Sep 8","YUM!","48","cas","casual encounters","Missoula","Attractive, fit, professional man looking for oral sex (giving).  I simply have this craving that needs to be satisfied so if you enjoy a nice tongue, let's get together.  Please be discreet, clean, and disease free.  Appearance is not as important as your desire to have a tongue in you.","2014-08-11T11:51:44-0600","2014-09-08T15:50:53-0600"," 0","m4w"
"15","http://missoula.craigslist.org","ppp","4615527146","http://missoula.craigslist.org/cas/4615527146.html","4615527146","Sep 8","massage","43","cas","casual encounters","msla","looking for a nice massage, would prefer if you had a table and were somewhat experienced in sensual massage. dream of nude masseur giving me a complete body rub down. everything massaged well with lots of oil. free most days","2014-08-12T10:19:21-0600","2014-09-08T08:08:11-0600"," 0","m4m"
"16","http://missoula.craigslist.org","ppp","4617856684","http://missoula.craigslist.org/cas/4617856684.html","4617856684","Sep 8","SATISFY MY ORAL CRAVING","48","cas","casual encounters","MISSOULA/SURROUNDING","I am an attractive, fit, professional man looking to meet up with a lady to satisfy my oral craving.  I just want to make love to a woman with my tongue.  Married women who are not getting this type of attention at home are especially welcome to respond.  Appearance is not as important as your desire to have a nice warm tongue inside you.  Please be clean, disease free, and discreet.  You just lay back and enjoy - it's really that simple!","2014-08-13T15:49:40-0600","2014-09-08T15:50:39-0600"," 0","m4w"
"17","http://missoula.craigslist.org","ppp","4621681402","http://missoula.craigslist.org/cas/4621681402.html","4621681402","Sep 6","Hamilton Discreet Head or more?","26","cas","casual encounters","Hamilton","I'm looking for NSA or a fuck buddy.  Discreet is a must.  Straight guys are the best at keeping it to themselves so that's what I prefer.  I'm 6'1"" 165lbs.  Want to suck a fit straight guys cock.  Bottom if he wants.  
four twenty friendly.
I have pics to trade.  S2R
I can host or travel (not traveling far though)
If this ad is up I'm still looking.
Put something in the subject to verify you aren't a spambot.","2014-08-16T04:05:46-0600","2014-09-06T19:50:25-0600"," 0","m4m"
"18","http://missoula.craigslist.org","ppp","4622700416","http://missoula.craigslist.org/m4w/4622700416.html","4622700416","Sep 6","Meet up for a Drink Downtown?","28","m4w","men seeking women","Missoula","My plans for tonight fell through and I was hoping to make the most of the evening by meeting someone new. I'm 28, 6'2"", athletic build. I work downtown and live near the Rose Park. Interests: running, reading, music (listen to kexp at work), good food, and travel. The Depot, Plonk, or the Rhino sound appealing.  I could be downtown sometime after the game. Let me know if you're interested.","2014-08-16T16:27:21-0600","2014-09-06T13:19:34-0600"," 0",NA
"19","http://missoula.craigslist.org","ppp","4622714221","http://missoula.craigslist.org/msr/4622714221.html","4622714221","Sep 7","VERY PASSIONATE INTIMATE RENDEZVOUS (FWB? More?)",NA,"msr","miscellaneous romance","Missoula to Spokane","I am having a hard time finding a partner that understands this post... hmmm.
Someone out there must be reading this and knows what I speak of!!
Sexy divorced male seeking an easy, no commitment, sexual liaison(s) with a like-minded sensual woman. Let's have some drinks, chat, and then entangle in heated passion; if we click, we can be friendly sex partners. No hard commitments; just very casual, fun, passionate, and fulfilling sex.
Dating optional, but not required... I'm open to whatever works for us both. Could be one time... But would prefer an on-going, casual arrangement.
Completely discrete if necessary. I am able to host, travel, or improvise...
I live out of Missoula in Spokane/Cda area... Can share travel. Or meet in middle.
Am I asking too much?? Can a woman actually do this?
I'm late-40's, HWP, sexy & fit, clean, easy-going & fun. High sex drive; very sensual, passionate & attentive. Looking for a similar woman, intelligent, sexually charged, aged 30's - 40s - 50's; who is looking for a great sexual rendezvous to meet her needs, wants, & erotic desires... then go home physically spent and smiling.
Trade info & pics, meet, and see if we have mutual desire. ALL info exchanged is completely confidential!! And yes, I have recent pics. Please have the same.
Are you interested?? Take that first step... contact me!! I won't bite until you ask me to...","2014-08-16T16:37:51-0600","2014-09-07T13:04:32-0600"," 0","m4w"
"20","http://missoula.craigslist.org","ppp","4622762064","http://missoula.craigslist.org/m4w/4622762064.html","4622762064","Sep 7","CRAVING KISSING, PASSION & INTIMACY?",NA,"m4w","men seeking women","Misoula - Spokane","Sexy, divorced late 40s professional male; seeking a casual, fun, intimacy based relationship, with a like-minded intelligent, sensual woman. I really miss the intelligent conversation, the passionate kissing, the great sensual intimacy... I am very affectionate and romantic. However, I'm very busy, and frustrated by on-line dating; not looking for a full relationship... yet. Perhaps as a busy, frustrated, or attached woman, you understand.
Let's meet at least once for drinks and intimacy; if we click, we can be friendly bed partners... maybe much more. If we desire, we can have a little romance as well; I'm not against a simple, casual dating relationship if it works for both. We can meet socially & intimately; or just for great, passionate rendezvous. Either way, I crave intelligent company with lots of kissing... with someone I trust and respect.
ME: Easy-going, casual & social, 5'-6"", fit/HWP, stocky build, brown hair, blue eyes, easy-going & fun. Italian blood; high sex drive, very sensual, passionate & attentive. I love kissing, affection and sensual touch.
YOU: A very intelligent, witty, and sexy woman; aged 30 to mid-50's, HWP. Highly sensual and you must love to kiss!! And I stress that intelligence is a huge turn-on for me. A woman longing for a great rendezvous to meet your needs, wants, & desires... and then going home physically spent. Perhaps someone who doesn't have time/desire for a relationship. Or can't... for whatever reason. Someone who craves that lost passion and intense desire...
I live out of Missoula in the Coeur d'Alene area... Can trade-off hosting, come to you, or meet in the middle... I'm open and flexible; we can work it out.  I prefer to meet someone from out of my area; primarily as I am a professional in this community and prefer discretion.
Trade info & pics, meet, and follow our desires. ALL info exchanged is completely confidential and safe!! I am able to host, travel, or improvise... Flexible on times.
Are you interested...?? Contact me!! I won't bite until you ask me to...","2014-08-16T17:15:41-0600","2014-09-07T13:01:11-0600"," 0",NA
"21","http://missoula.craigslist.org","ppp","4627113935","http://missoula.craigslist.org/m4w/4627113935.html","4627113935","Sep 6","FWB situation","35","m4w","men seeking women","Msla","I am a single guy. I am not looking for anything serious. Someone who would want to catch a movie in or out, cuddle on the couch watching a movie and some fun in the bedroom. Something without the drama of a relationship. I would like to get something going soon. Please respond with a number I can text you at and we can talk that way. Please do not send me to any links, verification sites or other sites. Put ""Sex Friends"" as the subject so I know you are real and not spam. Thanks .","2014-08-19T13:24:45-0600","2014-09-06T17:25:58-0600"," 0",NA
"22","http://missoula.craigslist.org","ppp","4627886595","http://missoula.craigslist.org/cas/4627886595.html","4627886595","Sep 8","put your dick in my mouth","29","cas","casual encounters","Missoula","Title says it all, I stay at the hollywood trailer park. Clean and discrete. Call or text nine1six4seven6zero1five9. Or leave a message. Thanks guys.","2014-08-19T22:43:38-0600","2014-09-08T15:36:22-0600"," 0","m4m"
"23","http://missoula.craigslist.org","ppp","4628351222","http://missoula.craigslist.org/cas/4628351222.html","4628351222","Sep 7","19, looking for military or similar",NA,"cas","casual encounters",NA,"Just what it said, 406
Looking for military guys unless you are young than it would still work, 273
I am 6""2, In shape, 220 lbs, you must , be serous and disease free, later guys
8839","2014-08-20T09:38:45-0600","2014-09-07T23:39:51-0600"," 0","m4m"
"24","http://missoula.craigslist.org","ppp","4628754218","http://missoula.craigslist.org/stp/4628754218.html","4628754218","Sep 8","Fishing friend","31","stp","strictly platonic","Missoula","I just moved to town this Spring and am looking for somebody to go fishing with. If anyone has a line on a local group or just wants to fish, let me know. I usually float out of a pontoon raft (1 person) or wade. Cheers!","2014-08-20T12:59:45-0600","2014-09-08T11:34:13-0600"," 0",NA
"25","http://missoula.craigslist.org","ppp","4630838696","http://missoula.craigslist.org/cas/4630838696.html","4630838696","Sep 5","Horny Sub bottom looking for older top","24","cas","casual encounters","Mizzoula","Hey i am looking for a top that can host into anything u want to do let me know prefer older Very horny Havent been bottom for a long time and am craVing will be up late if u can host that would be great","2014-08-21T17:36:13-0600","2014-09-05T22:09:32-0600"," 0","m4m"
"26","http://missoula.craigslist.org","ppp","4630973051","http://missoula.craigslist.org/m4w/4630973051.html","4630973051","Sep 5","I want a friend/companion","73","m4w","men seeking women","polson","I live in polson ,mt...Ive been single too much  and I would like to have someone special in my life once more...Alone is good some times but 2 can be happier doing things like movies,breakfast,live plays and concerts....camping is best shared in two and a 32 ft motorhome.. If any of this appeals to you  then send your pic and a profile, along with a letter telling me why I might pick you...please no one under 50 and no nude photos as Im not into that....I dont want a one nite stand  and I prefer a slim to normal build....I like to fish on the lakes....Im not rich in money ,I live in my 32 ft motorhome,but that could change if  things work out that way....no smokers...I am christian","2014-08-21T19:17:56-0600","2014-09-05T23:50:59-0600"," 4",NA
"27","http://missoula.craigslist.org","ppp","4632141752","http://missoula.craigslist.org/m4w/4632141752.html","4632141752","Sep 8","Hey look","52","m4w","men seeking women","library","As attractive and intelligent as some of U may b
it's really your MOM that I'm interested in.  She is under 50, Caucasian, well-built
and HWP, and you've had more than 1  talk w/her in the past where she claims there r no Men out there that R handsome, sincere, intelligent, and most importantly  -  Available.
 U wood b re-miss if  U didn't show her this ad.
Call her right now!!","2014-08-22T14:15:45-0600","2014-09-08T08:23:41-0600"," 0","greater N/W Pac. college girls"
"28","http://missoula.craigslist.org","ppp","4632317346","http://missoula.craigslist.org/cas/4632317346.html","4632317346","Sep 7","i need a teacher","18","cas","casual encounters",NA,"Hi i am a 18yr old male and looking for for a women that could teach me somethings about sex i am a virgin and would like to change that.","2014-08-22T15:57:17-0600","2014-09-07T12:26:02-0600"," 0","m4w"
