"","cityurl","subcl","post_id","post_link","post_data_id","post_date_raw","post_title","post_price","post_subcl","post_subcltype","post_loc","post_text","post_date","post_last_update","post_pics","post_type"
"1","http://muncie.craigslist.org","ppp","4621477379","http://muncie.craigslist.org/cas/4621477379.html","4621477379","Sep 14","Oral","33","cas","casual encounters","New Castle","Never been with a ts....want to be sucked, and interested in trying to suck for first time if you have a nice cock. Please be passable with pics to prove. Let's suck each other off.","2014-08-15T22:52:34-0400","2014-09-14T19:07:48-0400"," 0","m4t"
"2","http://muncie.craigslist.org","ppp","4622601776","http://muncie.craigslist.org/cas/4622601776.html","4622601776","Sep 14","young wetbwarm mouth for you! daddy","24","cas","casual encounters","marion","sub botm boy in marion lookin for top ;daddy;bear;? i can pleas  .must send pics!!!   . be over 30 descrete765. i love to suck !!!603gt fucked dress up . Be your slut....up for some 8564 road head or more","2014-08-16T17:17:26-0400","2014-09-14T16:50:43-0400"," 0","m4m"
"3","http://muncie.craigslist.org","ppp","4623226815","http://muncie.craigslist.org/stp/4623226815.html","4623226815","Sep 14","coffee",NA,"stp","strictly platonic","anderson","just got home from work
going to have a coffee and a smoke
anyone care to join?
looking to meet new friends
please no drama
please write a bit about yourself
I'll do the same","2014-08-17T08:38:09-0400","2014-09-14T07:30:06-0400"," 0","m4w"
"4","http://muncie.craigslist.org","ppp","4623403037","http://muncie.craigslist.org/cas/4623403037.html","4623403037","Sep 14","sunday funday","25","cas","casual encounters","muncie/bsu","Its sunday and im bored and horny. Anyone else in the same boat?
Just looking to have some fun with nsa and discreetly. 
So if you are intrested in having some fun hmu with a pic and what u r interested in doing. NO OLD DUDES!!","2014-08-17T11:24:43-0400","2014-09-14T16:48:25-0400"," 0","m4m"
"5","http://muncie.craigslist.org","ppp","4624163105","http://muncie.craigslist.org/m4m/4624163105.html","4624163105","Sep 13","21 Yr Old Cub Seeks LTR","21","m4m","men seeking men","Bedford","I am a 21 yr old bear from Bedford. Looking for a great guy interested in a ltr. Am a huge music lover and musician. Work in the Education field. If interested please reply with stats and a face picture. Also please change the headline to ""Indiana""","2014-08-17T19:44:48-0400","2014-09-13T23:31:39-0400"," 0",NA
"6","http://muncie.craigslist.org","ppp","4625561206","http://muncie.craigslist.org/cas/4625561206.html","4625561206","Sep 15","female slut 4 getting cuffed, tied up, used, & disiplined !!!!","40","cas","casual encounters","central ind","any sexy fit in shape females 18 to ???? single or can be part of a cpl. that want or like to be cuffed, tied up, used, disiplined, with very fun, very nice bdsm, leather gear, and lots more, includes sex and bondage, orgasem denials and lots of fun.
if u have read the 50 shades of grey books and have started thinking about naughty fantasies of trying that kinda fun lets talk more. iam brushes5 on ym
i enjoy open minded people iam 6'2 170lbs dark brown hair blue eyes 6 to 7 in cut cock out on a secluded farm where u can be cuffed, tied up used disiplined inside, or outdoors, maybe in a sex swing too if you are a good naughty girl......
put the name of your fav. FOOD in the subject line
colts play  the saints","2014-08-18T16:48:07-0400","2014-09-15T08:50:58-0400"," 0","m4w"
"7","http://muncie.craigslist.org","ppp","4626265805","http://muncie.craigslist.org/m4m/4626265805.html","4626265805","Sep 15","need to suck some big dick  d",NA,"m4m","men seeking men","anderson","bring those big woodies with big loads of cum by this morning i would love to help you get off","2014-08-19T03:19:42-0400","2014-09-15T00:50:53-0400"," 0","free big cummers welcome"
"8","http://muncie.craigslist.org","ppp","4626975003","http://muncie.craigslist.org/cas/4626975003.html","4626975003","Sep 15","Any other bi guys n2 the outdoors scene?","42","cas","casual encounters","Anderson, Pendleton Areas","Like it say's, I'm looking for friends to hang out with, that are n2 the outdoor's scene.. I like to fish, camp, hike, shoot guns, bows, etc. I'm also n2 big trucks, so if your a country boy, you'd work perfect.. lol    I'm bi, but extremely straight acting, so hopefully, we can be friends inside, and outside the bedroom.. I prefer the younger, smoother, twinkish guy's, but open to most.. Please respond with your stats, what you enjoy doing, and what you get n2 in the bedroom, along with some pics, face, bod, whatever.. All ads will be answered..","2014-08-19T14:14:54-0400","2014-09-15T16:32:15-0400"," 2","m4m"
"9","http://muncie.craigslist.org","ppp","4629134178","http://muncie.craigslist.org/cas/4629134178.html","4629134178","Sep 15","will be hosting bjs now","28","cas","casual encounters","anderson","i will swallow very discreet looking for fun will swallow your cum shoot me an e mail for fun","2014-08-20T18:38:56-0400","2014-09-15T07:25:54-0400"," 0","m4m"
"10","http://muncie.craigslist.org","ppp","4629496611","http://muncie.craigslist.org/cas/4629496611.html","4629496611","Sep 15","dominant girls","30","cas","casual encounters","Greenfield","Any dominant females who wanna explore. Seeking a girl or girls to use me as a toilet must be discrete D&D free. No drama plz put eat it in title. Pic for quick response:-)","2014-08-20T23:35:30-0400","2014-09-15T07:54:08-0400"," 0","m4w"
